   PREPROCESSOR DIRECTIVE | #include <ctype.h>
   PREPROCESSOR DIRECTIVE | #include <stdbool.h>
   PREPROCESSOR DIRECTIVE | #include <stdio.h>
   PREPROCESSOR DIRECTIVE | #include <string.h>
                  KEYWORD | struct
             BLOCK BEGINS | {
                  KEYWORD | int
               IDENTIFIER | line_no
                  KEYWORD | char
               IDENTIFIER | type
                   NUMBER | 50
                  KEYWORD | char
               IDENTIFIER | token
                   NUMBER | 50
               BLOCK ENDS | }
               IDENTIFIER | table
                   NUMBER | 10000
                  KEYWORD | int
               IDENTIFIER | table_len
                 OPERATOR | =
                  KEYWORD | struct
               IDENTIFIER | returnParams
             BLOCK BEGINS | {
               IDENTIFIER | bool
               IDENTIFIER | valid
                  KEYWORD | int
               IDENTIFIER | index
                  KEYWORD | char
               IDENTIFIER | str
                   NUMBER | 200
               BLOCK ENDS | }
                  KEYWORD | void
               IDENTIFIER | insert
                  KEYWORD | int
               IDENTIFIER | line_no
                  KEYWORD | char
               IDENTIFIER | type
                   NUMBER | 50
                  KEYWORD | char
               IDENTIFIER | lex
                   NUMBER | 50
             BLOCK BEGINS | {
               IDENTIFIER | table
               IDENTIFIER | table_len
               IDENTIFIER | line_no
                 OPERATOR | =
               IDENTIFIER | line_no
               IDENTIFIER | strcpy
               IDENTIFIER | table
               IDENTIFIER | table_len
               IDENTIFIER | type
               IDENTIFIER | type
               IDENTIFIER | strcpy
               IDENTIFIER | table
               IDENTIFIER | table_len
               IDENTIFIER | token
               IDENTIFIER | lex
               IDENTIFIER | table_len
                 OPERATOR | +
                 OPERATOR | +
               BLOCK ENDS | }
               IDENTIFIER | bool
               IDENTIFIER | isSeparator
                  KEYWORD | char
               IDENTIFIER | ch
             BLOCK BEGINS | {
                  KEYWORD | char
               IDENTIFIER | test
                 OPERATOR | =
                   STRING | ";[]{}()"
                 FUNCTION | for (
                  KEYWORD | int
               IDENTIFIER | i
                 OPERATOR | =
               IDENTIFIER | i
      RELATIONAL OPERATOR | <
               IDENTIFIER | strlen
               IDENTIFIER | test
                 OPERATOR | +
                 OPERATOR | +
               IDENTIFIER | i
             BLOCK BEGINS | {
                 FUNCTION | if (
               IDENTIFIER | ch
      RELATIONAL OPERATOR | ==
               IDENTIFIER | test
               IDENTIFIER | i
                  KEYWORD | return
               IDENTIFIER | true
               BLOCK ENDS | }
                  KEYWORD | return
               IDENTIFIER | false
               BLOCK ENDS | }
                  KEYWORD | struct
               IDENTIFIER | returnParams
               IDENTIFIER | isKeyword
                  KEYWORD | int
               IDENTIFIER | index
                  KEYWORD | char
               IDENTIFIER | str
             BLOCK BEGINS | {
                  KEYWORD | char
               IDENTIFIER | test
                   NUMBER | 40
                 OPERATOR | =
             BLOCK BEGINS | {
                   STRING | "printf"
                   STRING | "double"
                   STRING | "float"
                   STRING | "void"
                   STRING | "else"
                   STRING | "main"
                   STRING | "for"
                   STRING | "int"
                   STRING | "if"
               BLOCK ENDS | }
